contract_id,norm_id_1,norm_id_2,norm1,norm2,conflict
466,82524,83696,"To this end, subject to any confidentiality agreements Solectron may have, Solectron will both inform and provide a commercially reasonable opportunity for acquisition of new and emerging Solectron and industry technology.",Solectron can choose not to inform new industry technologies produced by them,1
466,82758,83697,NCR shall pay the freight carrier directly.,NCR must pay the freight carrier making a back deposit,1
466,83164,83698,Products should be appropriately labeled with the European CE mark and any country specific requirements.,Products may be labeled with the European CE mark but shall not have any labels from country specific requirements,1
466,82857,83699,The Specifications may only be amended by the NCR design release process.,The Specifications shall not be amended by the NCR design release process,1
467,83836,83935,Each certificate shall state that the insurance carrier will give Seller and Buyer at least thirty (30) days written notice of any cancellation or material change in the terms and conditions of such policy during the periods of coverage.,Certificates shall state that the insurance carrier must give Seller and Buyer at least thirty (15) days written notice of any cancellation or material change in the terms and conditions of such policy during the periods of coverage,1
467,83737,83936,"Seller will engineer, permit, construct, finance, operate and maintain the Thermal Energy Production Facilities so as to produce and deliver Thermal Energy to Buyer at the agreed upon Points of Delivery.","Seller is not responsible for engineer, permit, construct, finance, operate and maintain the Thermal Energy Production Facilities",1
467,83873,83937,"In addition, Seller agrees to file a vendor registration if it has not already done so.",Seller shall not file any vendor registration,1
467,83779,83938,Seller shall use reasonable means to limit the duration of the outage and shall attempt to schedule chilled water outages during winter months and steam outages during summer 8 months.,Seller cannot make water outrages,1
468,84238,84293,"NONSOLICITATION OF EMPLOYEES (A) During the term of this Agreement neither Motorola nor ASE shall solicit any employee of the other for employment, either directly through any of its employees, * .",Motorola can solicit any employee of the other for employment,1
468,84034,84294,ASE shall establish a system to ensure all deliveries to be made on time.,ASE may deliver up to two hours after the stipulated time,1
468,84061,84295,(B) ASE shall dispose of any Scrap in accordance with applicable laws and Motorola's written instructions.,ASE may dispose of any Scrap in accordance with applicable laws and Motorola's written instructions,1
468,84027,84296,"The actual orders shall provide details regarding specific Contract Products, mix, * Certain information on this page has been omitted and filed separately with the Commission.","If the number of order is smaller than two, orders shall not provide details about Contract Products",1
468,84062,84297,"Upon request, ASE shall ship all Scrap to Motorola separately from any of the Contract Products or Bailed Property in clearlymarked boxes so as to identify the items contained therein.",ASE shall ship all Scrap to Motorola along with the Contract Products or Bailed Property,1
470,89640,89671,The terms of this Letter Agreement shall become effective immediately prior to the closing under the APA.,The terms of this Letter Agreement must not become effective immediately prior to the closing under the APA,1
470,89638,89672,"All capitalized terms used but not otherwise defined herein shall have the same meanings as are ascribed thereto in the SPA or the IRA, as indicated below.","All capitalized terms used but not otherwise defined herein shall not have the same meanings as are ascribed thereto in the SPA or the IRA, as indicated below",1
474,90191,90366,"All inquiries that Seller receives on a worldwide basis relative to Buyer's air chamber ""Products"" as specified in Exhibit III, shall be directed to Buyer.","All inquiries that Seller receives on a worldwide basis relative to Buyer's air chamber ""Products"" as specified in Exhibit III, must not be directed to Buyer.",1
474,90233,90367,Seller shall not be responsible and shall not pay any taxes or charges as outlined in above levied after delivery to Buyer.,Seller shall pay all taxes during the delivery to Buyer.,1
474,90191,90873,"All inquiries that Seller receives on a worldwide basis relative to Buyer's air chamber ""Products"" as specified in Exhibit III, shall be directed to Buyer.","Seller may not redirect inquires concerning Buyer's air chamber ""Products"".",1
478,91263,91397,"Unless otherwise agreed in writing or as set forth in the Packaging Specification, all Products will be packed and shipped in accordance with Adaptec's normal practices.",A shipped product must be packed following Government practices.,1
478,91226,91398,"Where applicable, Taxes shall appear as separate items on Adaptec's invoice.","If shipping products, the Taxes shall appear along the other items on Adaptec's invoice.",1
478,91281,91399,This RMA number must be referenced on all paperwork and shipping containers with respect to the returned Product.,"If shipping less than three products, RMA number shall not be referenced on the paperwork and shipping containers.",1
479,91420,92001,PAYMENT WILL BE MADE BY CODE See Article G.5.,A product payment can be performed using a transfer through bank accounts.,1
479,91651,92002,A 3% annual allowance for salary increases will be allowed for each of the subsequent years of each task if applicable.,Salary shall not be increased by more than 2% a year.,1
480,92039,92085,TEKNIKA shall pay to LSI the adjusted price for the Products within 15 business days of LSI's invoice for the Products.,TEKNIKA ought not pay to LSI the adjusted price for the Products.,1
481,92115,92317,"Only in the case of mobile shredders shall Ifco make available crates for shredding at the agreedupon Ifco depot, as well as transporting the completed granulate at its own costs to the production shops of SWS.",Ifco shall provide crates for shredding along with all sold products.,1
481,92103,92318,"As part of this contract, the crate types specified in greater detail in attachments 1 and 4 (designated in this contract as Ifco products) are to be produced and delivered by SWS to Ifco.",SWS must not produce crates.,1
481,92282,92319,"Even after termination of the contract, SWS shall retain ownership rights of all molded shapes existing for the manufacture of Ifco products.",SWS must retain all ownership rights of all molded shapes for the manufacture of Ifco products.,1
482,92370,92460,NOVOSTE has the right to supervise the agreed upon quality and shall be entitled to inspect the facility in which any part of the Product is been manufactured upon one (1) week's prior notice.,"Once signed, NOVOSTE shall not supervise the agreed upon quality.",1
482,92395,92461,Surcharge: BEBIG will make a substantial investment in the Sr90 seed production line upon the execution of this Agreement to ensure continuous production for a period of four (4) years.,BEBIG shall not make a investments in any seed production line.,1
482,92438,92462,"If such breach is not cured by reasonable measures by BEBIG within 90 days from the date of notice, then NOVOSTE may permit a third party manufacturer to utilize the said knowhow and intellectual property for the sole purpose of manufacturing product for NOVOSTE.",NOVOSTE must not allow a third party manufacturer to manufacture products to NOVOSTE.,1
483,92501,92575,"ACTII shall be responsible for all applicable taxes, including personal property and sales taxes, excluding any income taxes owing by Janssen (or its Affiliate designee).",ACTII is intended to be responsible for all applicable taxes applicable to Janssen.,1
483,92504,92576,"ACTII shall be responsible for the design, construction, equipment, validation and maintenance of the ACTII Facilities, including the Janssen Equipment.","Except for the Janssen Equipment, ACTII must be in charge of the all production processes involving ACTII Facilities.",1
483,92523,92577,No material changes may be made to the Headcount Plan without the prior approval of the Global Supply Team.,Parties may perform changes on materials whenever they want.,1
483,92522,92578,"The Global Supply Team shall periodically review and make any appropriate adjustments to the Headcount Plan, including both the Existing Headcount and the Incremental Headcount.","The Global Supply Team must not periodically review and make any appropriate adjustments to the Headcount Plan, including both the Existing Headcount and the Incremental Headcount.",1
483,92475,92579,"Each Reconciliation Credit during the calendar year 2003 shall be equal to nine hundred seventeen thousand U.S. dollars ($917,000).","Reconciliations made in 2003 must be equal to one million U.S. dollars ($1,000,000).",1
569,111015,111282,"In addition, Cubist will be consulted concerning any matters that could cause a delay in completion of the Facility.","In addition, Cubist may not be consulted concerning any matters that could cause a delay in completion of the Facility.",1
569,111186,111283,Cubist may also terminate this Agreement in the event that the FDA refuses to approve the Product.,Cubist may not terminate terminate this Agreement even in the event that the FDA refuses to approve the Product.,1
569,111074,111284,(b) Cubist shall not be required to pay DSM for any Product which has been property rejected in accordance with clause 3.11 sub (a).,(b) Cubist may be required to pay DSM for any Product which has been properly rejected in accordance with clause 3.11 sub (a).,1
569,111104,111285,Cubist shall at all times upon reasonable notice and during normal business hours have the right to inspect the Facility to ascertain compliance with GMPs.,"Cubist may not be, at all times and upon reasonable notice and normal business hours, denied an inspection of the Facility to ascertain compliance with GMPs.",1
571,111646,111735,"In March 2001, Celgene shall provide a firm order for Material for July through September, 2001 and a revised forecast for the months October, 2001 through June, 2002.","In March 2001, Celgene shall not provide a firm order for Material for July through September, 2001 and a revised forecast for the months October, 2001 through June, 2002.",1
571,111672,111736,Celgene shall have the right to defend and/or settle any such claim and JMI shall give Celgene such information and assistance as may be reasonably necessary in the conduct of such defense.,Celgene shall not have the right to defend and/or settle any such claim and JMI shall not give Celgene such information and assistance as may be reasonably necessary in the conduct of such defense.,1
